acc_fea_infory,0,0,0,3,0,0,0,9,0,0,0,5,0,0,13,0,0,0,5,0,3,0,6,0,0,0,6,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,34,1.78,4.98
gyro_a_mainX_y,0,0,1,4,1,0,1,10,0,1,1,0,0,0,20,1,1,0,0,0,0,0,9,0,1,0,2,0,0,0,1,1,0,4,1,3,1,0,0,0,0,0,0,5,1,5,1,0,0,1,1,0,1,0,0,1,1,1,3,6,1.52,3.2
acc_p_lgEnergy_z,1,0,1,3,0,0,0,9,0,1,0,2,1,0,19,1,0,0,3,0,3,0,9,0,1,1,3,1,0,1,1,0,0,3,0,4,0,0,1,0,0,1,0,3,1,3,0,0,0,0,1,1,0,0,0,1,0,0,4,4,1.47,2.98
gyro_t_xyCor,0,0,0,1,0,1,0,7,0,0,0,2,0,0,7,0,0,0,0,0,1,0,14,0,0,0,10,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5,13,1.22,3.09
acc_a_peakXY5,0,1,0,0,0,0,0,3,1,1,0,4,2,0,3,0,0,1,5,0,5,1,1,1,0,0,8,2,1,1,0,0,1,0,0,7,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,7,0,1.08,1.85
gyro_p_interq_x,0,0,0,2,0,1,0,6,2,1,0,2,0,0,4,0,0,0,1,0,2,0,3,0,0,0,6,1,0,1,0,0,0,1,0,10,2,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,1,0,2,1,0,1,3,3,1.03,1.82
gyro_p_lgEnergy_x,0,0,0,1,0,0,0,10,0,0,0,1,0,0,8,0,0,0,2,0,2,0,6,0,0,0,5,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,8,7,0.98,2.27
acc_f_peakXY1,0,1,1,2,1,0,1,3,1,0,0,4,3,0,1,0,0,0,2,0,1,0,3,1,2,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,2,1,1,2,3,0.9,0.93
acc_meandif,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,1,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0.8,2.56
gyro_a_peakXY4,0,0,0,3,0,0,0,1,0,0,0,2,0,1,2,0,1,0,3,0,2,1,3,0,0,1,0,0,0,0,0,1,1,2,0,4,0,1,0,0,0,1,1,2,1,3,0,1,1,1,0,1,0,0,0,1,0,0,2,4,0.8,1.09
acc_p_kurt_y,0,0,1,0,0,0,0,6,0,1,1,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,2,10,0.78,2.12
acc_t_amp_z,0,0,0,3,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,1,0,4,0,1,0,3,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,12,2,0.7,1.74
gyro_f_skew_y,0,0,1,2,0,0,0,9,0,1,0,2,1,0,0,0,0,0,0,0,1,0,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,8,0.65,1.63
gyro_t_kurt_x,0,0,0,1,1,0,0,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,4,3,0.6,0.92
gyro_a_subX_a,0,0,0,1,1,0,0,4,0,0,0,1,0,0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,6,2,0.6,1.03
