acc_peaks_abnormal,5,3,40,3,5,4,86,5,21,3,4,4,5,4,9,4,48,7,5,2,84,8,4,32,4,1,4,44,4,66,1,4,2,12,1,2,2,57,4,18,28,2,2,16,3,13,4,42,8,1,49,2,4,76,3,3,3,4,5,5,95,2,40,4,7,6,58,3,39,4,3,2,4,2,8,21,43,3,10,4,6,2,41,28,2,76,1,79,124,4,1,72,18.35,26.52
gyro_fea_auto_num,3,2,49,3,1,3,83,2,23,3,4,3,2,2,10,4,30,4,5,4,85,9,2,18,3,4,3,34,3,69,1,3,3,6,2,4,1,49,2,20,16,0,3,23,0,12,3,39,2,3,55,3,3,65,3,1,3,3,4,3,68,0,34,3,1,2,95,1,55,3,3,5,5,2,5,43,55,0,2,4,1,1,44,25,0,98,5,88,89,3,0,83,17.7,26.94
acc_t_xzCor,4,5,47,4,4,4,59,4,18,1,2,4,3,5,11,2,29,7,3,6,56,7,4,18,2,3,5,30,4,51,3,4,5,11,4,5,4,41,3,33,22,5,4,16,5,15,3,39,8,5,32,5,5,69,4,5,3,5,2,4,80,5,30,4,7,5,54,5,29,4,3,5,4,3,11,20,46,6,13,2,3,4,39,24,6,86,3,72,71,5,8,60,16.17,20.82
acc_t_xyCor,4,4,46,1,3,2,72,2,21,2,3,3,3,2,7,2,37,12,1,3,65,7,2,25,2,4,3,36,3,54,6,3,4,9,3,5,3,30,1,26,23,4,2,16,4,11,3,42,4,2,37,4,2,58,3,3,4,5,3,3,58,3,21,3,4,2,48,4,41,4,5,3,5,5,17,25,45,4,6,5,5,3,35,25,4,68,3,80,109,2,2,43,15.66,21.72
acc_p_lgEnergy_y,2,1,37,2,3,2,66,2,21,2,2,2,3,3,7,3,40,14,2,1,43,3,2,19,3,2,2,19,2,50,2,2,1,14,3,2,3,49,2,26,27,2,3,18,1,12,2,36,9,2,40,1,2,47,2,1,4,2,2,2,48,2,39,1,5,2,58,2,32,2,1,1,1,2,4,26,52,1,6,2,1,1,22,33,2,36,1,49,46,3,3,46,13.14,17.63
gyro_t_yzCor,0,2,38,1,2,1,52,1,27,1,2,1,1,1,9,2,27,15,2,3,46,3,1,24,2,2,1,22,1,54,1,1,2,13,0,0,3,36,2,20,25,2,1,22,1,15,0,29,7,1,30,2,1,46,1,1,0,0,2,0,52,1,32,1,4,1,43,2,33,1,2,2,0,1,16,25,38,1,7,0,2,2,31,24,2,37,2,58,47,1,0,43,12.16,16.58
gyro_fea_samplex,1,1,34,3,3,1,61,2,15,0,1,2,1,1,4,2,32,7,1,0,44,3,3,12,1,2,2,20,1,32,2,1,1,7,2,0,4,46,1,20,16,3,1,10,4,12,3,32,4,3,21,2,2,72,2,1,2,3,1,2,50,1,25,2,4,1,49,1,17,1,2,0,0,1,6,7,32,1,5,0,1,1,33,17,2,50,2,69,50,2,3,52,11.51,17.62
acc_a_std_a,0,2,33,1,2,1,24,0,9,1,1,2,1,1,7,2,16,7,0,1,54,3,2,11,1,1,2,24,1,40,1,2,3,4,1,2,0,23,2,15,17,1,1,7,1,6,0,31,3,2,30,2,2,38,1,3,2,2,2,2,47,1,22,2,2,0,33,2,14,2,2,0,2,2,5,14,12,1,3,2,2,2,36,8,1,43,1,46,34,1,1,24,8.95,13.25
acc_p_interq_y,0,0,30,0,0,0,45,0,12,0,0,0,0,0,5,0,28,5,0,0,50,0,0,17,0,0,0,10,0,36,0,0,0,6,0,0,0,44,0,16,20,0,0,16,0,6,0,20,1,0,33,0,0,35,0,0,0,0,0,0,54,0,27,0,0,0,40,0,16,0,0,0,0,0,4,10,38,0,1,0,0,0,26,10,0,20,0,54,37,0,0,40,8.83,15.07
gyro_a_peakXY3,1,1,31,0,1,1,36,1,11,2,1,1,0,1,3,1,28,6,1,1,39,1,2,13,1,0,0,16,1,37,0,1,2,4,0,1,2,24,1,17,19,1,1,4,1,5,0,18,2,0,26,1,1,34,1,1,0,1,1,1,55,3,26,1,1,0,34,2,13,1,0,1,0,0,5,6,28,2,1,0,2,2,28,11,1,31,2,46,36,1,2,47,8.65,13.47
gyro_t_xzCor,0,0,26,0,0,1,49,0,14,0,0,0,1,0,2,0,24,3,0,0,45,1,0,15,1,0,0,18,0,25,1,0,0,3,0,0,0,30,1,12,17,0,0,15,0,3,0,17,0,0,33,0,0,46,1,0,0,0,0,0,53,1,16,0,0,1,39,1,17,0,0,0,1,0,5,15,23,0,1,1,1,0,25,12,0,36,0,46,30,0,0,31,8.25,13.9
acc_p_lgEnergy_x,0,0,20,0,0,0,33,0,9,1,0,0,0,0,2,0,18,5,0,1,73,0,0,9,0,0,0,22,0,34,0,0,0,1,0,0,1,33,0,12,17,0,0,4,0,2,0,27,2,1,28,0,0,50,0,0,0,0,0,0,41,0,20,0,3,0,40,0,7,0,0,0,0,0,3,13,17,0,1,0,0,0,26,18,0,31,0,55,41,0,0,34,8.21,14.96
acc_t_zaCor,1,0,16,1,1,2,27,1,8,2,1,1,2,2,3,1,19,5,1,0,44,7,0,17,1,1,2,25,1,42,0,1,0,7,2,1,0,23,2,14,12,1,1,6,2,8,1,20,7,1,23,0,1,63,2,0,1,0,1,1,27,0,12,1,5,1,18,0,14,1,1,0,0,0,9,14,15,1,4,1,0,0,17,25,1,41,0,27,25,2,0,29,7.89,12.02
acc_t_skew_y,1,0,20,0,0,1,36,1,8,2,1,1,1,1,4,0,12,1,0,0,54,4,1,7,1,1,0,21,1,25,1,1,0,6,3,2,0,17,1,8,9,0,0,7,0,4,2,17,3,0,14,0,0,23,1,0,1,1,1,1,45,0,9,1,3,1,38,0,21,1,1,0,1,0,3,17,22,0,3,3,1,1,9,9,0,40,0,56,53,1,0,33,7.61,13.2
acc_p_lgEnergy_a,0,0,22,1,1,0,22,0,10,0,1,0,0,0,1,1,12,4,1,0,48,3,1,13,0,1,1,11,0,13,0,0,0,3,0,0,0,22,0,11,11,0,2,6,0,5,0,14,1,0,17,1,0,37,0,0,0,0,1,2,29,1,16,0,1,0,18,0,12,0,0,1,0,0,2,5,13,1,1,0,0,0,12,11,0,43,1,18,72,0,0,38,6.47,12.25
gyro_f_subY_a,1,1,18,1,1,1,35,1,5,0,1,1,0,1,3,1,11,5,1,1,32,1,1,7,1,0,0,8,1,25,1,1,1,5,1,0,1,23,1,2,12,1,1,5,1,9,1,12,2,1,20,1,1,33,1,1,1,1,1,1,44,0,10,1,1,1,32,1,10,1,0,0,0,1,1,1,24,0,1,0,0,1,8,12,1,22,0,42,27,1,0,28,6.28,10.51
acc_fea_infory,0,0,18,0,0,0,31,0,12,0,0,0,0,0,7,0,13,5,0,0,37,1,0,12,0,0,0,16,0,25,0,0,0,6,0,0,0,22,0,8,11,0,0,10,0,10,0,11,3,0,14,0,0,27,0,0,0,0,0,0,30,0,16,0,1,0,25,0,14,0,0,0,0,0,5,8,20,0,4,0,0,0,13,10,0,32,0,30,35,0,0,30,6.22,10.09
acc_f_peakXY5,0,1,27,1,1,0,6,0,3,2,1,1,1,1,3,1,13,3,1,0,33,1,1,13,0,1,2,10,0,25,0,1,1,6,2,1,0,19,1,13,16,1,1,1,1,2,0,28,2,1,21,1,1,30,0,1,2,1,1,1,25,2,19,1,1,1,20,1,4,1,1,0,1,1,2,8,14,1,3,1,1,1,27,5,1,17,1,29,42,1,1,17,6.07,9.49
acc_p_mainX_z,0,0,22,0,0,0,13,0,1,0,0,0,0,0,1,0,14,4,0,0,26,0,0,9,0,0,0,16,0,30,0,0,0,3,0,0,0,30,0,11,13,0,0,0,0,1,0,19,0,0,23,0,0,38,0,0,0,0,0,0,31,0,17,0,0,0,33,0,2,0,0,0,0,0,0,9,15,0,0,0,0,0,26,7,0,21,0,41,42,0,0,36,6.02,11.26
