acc_t_zaCor,2,12,11,43,8,5,16,7,3,23,2,1,92,43,1,3,0,12,1,2,10,10,2,4,58,1,3,63,1,3,5,3,2,1,1,2,2,3,30,2,2,14,3,18,2,4,10,34,1,2,16,2,2,6,62,2,27,3,22,6,2,5,2,15,75,34,1,0,0,2,6,12,0,8,12,2,2,6,11,14,43,20,6,18,20,35,9,3,7,105,4,5,38,17,2,17,2,13.31,19.73
gyro_t_xyCor,2,11,10,47,7,2,12,1,0,16,2,2,55,44,1,1,2,8,1,1,2,3,1,1,53,2,3,39,2,5,2,1,1,2,1,1,2,2,23,2,1,7,6,14,2,2,13,28,1,1,12,2,2,3,28,2,32,1,24,1,0,7,2,12,53,39,1,2,2,2,2,7,3,8,10,1,1,4,5,14,49,23,1,19,18,39,11,0,2,37,1,1,46,15,3,17,1,10.44,14.56
acc_a_mainX_a,1,7,9,66,3,0,11,0,2,14,2,0,66,32,2,2,0,4,0,0,4,3,0,0,57,0,1,38,0,5,0,2,0,2,2,2,0,0,19,0,0,6,6,15,0,0,9,41,2,2,10,0,0,2,34,0,21,2,17,1,2,5,2,6,52,38,0,1,0,1,1,5,0,6,7,0,2,1,2,6,33,22,0,16,11,32,13,2,0,65,0,2,30,9,1,18,2,9.45,15.75
acc_t_yaCor,1,7,7,39,7,1,13,0,2,10,2,1,81,23,2,1,1,7,3,1,4,2,0,0,53,0,0,38,1,2,1,0,1,0,0,1,2,0,10,1,0,10,3,17,2,2,3,26,1,0,8,1,1,4,36,0,20,1,16,2,1,12,3,9,62,29,0,2,0,1,0,8,2,7,7,0,1,1,5,9,22,7,1,16,7,21,6,1,1,74,1,1,32,14,3,9,1,8.8,15.28
acc_t_xaCor,0,9,6,13,3,3,14,2,2,5,3,1,50,17,3,3,2,9,1,3,6,3,3,3,18,4,2,30,1,4,1,2,1,1,2,2,2,1,9,1,1,7,4,17,2,2,12,30,2,3,8,2,4,5,31,2,15,3,14,2,2,7,3,8,40,21,3,4,0,6,3,15,1,6,9,4,3,4,3,8,12,15,4,13,10,25,6,3,1,47,2,3,18,17,1,10,2,7.73,9.66
gyro_a_amp_a,1,5,5,31,5,1,7,1,1,9,1,1,47,21,1,1,1,5,1,1,3,2,1,1,36,1,1,27,1,3,1,1,1,1,1,1,1,1,13,1,1,5,6,10,1,1,9,22,1,1,7,1,1,4,26,1,15,1,11,1,1,4,1,7,42,18,1,1,1,2,1,6,1,5,6,1,1,2,3,7,24,10,1,11,9,21,6,1,1,44,1,1,28,10,2,9,1,6.8,10.21
acc_a_amp_a,1,4,2,42,1,0,7,0,1,10,1,0,36,17,1,1,0,0,1,1,1,1,0,2,46,0,2,39,0,3,0,1,0,1,1,1,0,1,14,1,1,1,4,9,1,0,7,24,1,1,3,0,0,1,15,0,21,1,13,1,1,3,1,3,41,19,0,1,1,0,0,0,0,4,1,1,1,0,3,1,27,11,2,9,4,21,7,1,0,43,0,1,20,1,2,11,1,6.04,10.86
acc_p_lgEnergy_x,0,5,4,20,4,2,3,1,3,12,1,1,73,10,2,0,1,4,0,1,2,4,2,2,20,2,1,17,0,6,0,0,1,1,0,2,0,2,15,1,0,4,6,16,2,3,7,17,1,4,7,2,3,2,11,1,15,1,9,2,1,7,2,8,50,7,1,1,0,0,0,6,0,4,9,0,1,4,2,5,18,10,0,15,16,10,6,2,2,21,1,1,12,11,2,10,1,6.02,9.92
gyro_p_lgEnergy_x,0,3,3,10,6,0,6,0,1,5,2,1,37,11,1,1,1,8,1,1,5,1,1,0,22,1,1,9,1,1,0,1,1,1,1,1,1,1,11,1,1,4,7,11,1,0,8,11,1,1,8,1,1,2,37,1,19,1,8,0,1,3,1,9,30,24,1,3,0,2,0,10,1,4,5,1,2,4,2,15,13,8,0,11,11,20,2,1,0,42,0,0,12,17,1,9,1,5.65,8.41
acc_f_skew_a,1,7,4,16,3,3,4,2,0,6,0,0,53,9,0,0,0,4,1,0,2,2,0,1,18,1,1,10,0,2,1,0,1,1,0,0,1,1,9,1,1,2,4,9,0,0,4,12,0,0,5,1,1,2,17,0,10,0,7,1,0,6,0,7,41,6,0,0,1,1,2,7,0,6,5,0,0,3,1,3,12,5,0,9,4,6,5,0,2,31,1,1,11,7,0,7,0,4.44,7.97
gyro_t_xzCor,0,8,3,7,4,2,6,1,1,6,2,1,31,5,0,0,0,1,1,0,1,0,1,1,10,1,0,12,0,2,1,0,1,1,2,2,4,0,10,1,3,3,6,7,0,2,7,13,1,0,5,2,2,1,8,2,9,1,5,0,1,6,1,5,23,8,2,2,1,1,1,12,1,3,6,1,1,1,3,5,13,10,3,9,7,13,4,1,3,25,0,1,4,6,3,8,1,4.13,5.32
acc_a_mainX_x,0,3,3,9,1,1,8,1,2,6,2,2,19,9,2,2,2,2,1,3,3,1,2,2,13,2,1,20,1,1,2,2,2,1,3,4,2,2,1,1,2,4,3,9,2,2,2,15,3,3,6,2,2,3,11,2,12,3,7,1,3,4,3,4,11,11,2,1,0,1,1,5,2,1,5,2,3,2,2,5,11,6,3,7,13,5,1,4,2,13,0,2,7,11,1,5,3,4.12,4.12
acc_a_std_x,1,2,1,14,2,1,1,2,1,3,1,0,25,9,0,0,1,5,0,0,0,1,1,1,18,0,1,12,0,0,2,0,0,0,0,0,0,0,6,1,0,1,2,5,2,1,6,5,0,1,4,0,0,0,16,1,8,0,3,0,1,2,1,6,18,9,1,1,0,0,1,5,0,1,1,1,1,1,0,4,8,4,1,9,6,7,9,0,2,22,4,1,16,8,0,5,0,3.33,5.11
acc_a_skew_a,1,2,2,20,2,0,1,1,0,3,0,0,36,9,0,0,0,0,0,0,0,0,0,0,28,0,1,17,0,2,0,0,0,0,0,0,0,0,3,0,0,2,6,1,0,0,1,12,0,0,0,0,0,0,10,0,5,0,5,0,0,0,0,1,40,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,11,2,0,6,7,14,2,0,0,27,0,0,5,7,0,6,0,3.15,7.31
acc_fea_infory,0,4,3,13,3,0,8,0,0,8,0,0,18,6,0,0,0,4,0,0,1,1,0,0,13,0,0,9,0,1,0,0,0,0,0,0,0,0,7,0,0,3,1,9,0,0,6,9,0,0,5,0,0,1,8,0,4,0,7,0,0,1,0,7,27,8,0,0,0,0,0,4,0,1,4,0,0,1,1,7,8,7,0,7,8,6,4,0,0,20,0,0,11,8,1,4,0,3.06,4.86
gyro_a_cftor_y,1,3,2,22,2,0,4,0,0,6,0,0,17,13,0,0,0,0,0,0,0,0,0,0,22,0,1,14,0,2,0,0,0,0,0,0,0,1,6,1,0,1,3,4,0,0,6,15,0,0,2,0,0,0,10,0,8,0,7,0,0,0,0,3,25,8,1,1,1,0,0,0,0,4,0,0,0,0,0,0,10,7,0,6,2,0,5,0,0,29,0,0,11,0,0,8,0,3.03,5.87
acc_t_skew_y,1,0,2,22,0,0,3,0,0,4,0,1,8,13,1,1,0,1,1,1,1,2,0,0,22,1,0,18,1,3,0,2,1,2,1,1,1,1,3,1,1,1,1,3,0,0,0,14,1,0,1,1,1,2,2,1,6,2,6,0,1,6,0,0,22,12,0,0,1,0,0,0,2,4,4,1,0,1,1,0,14,4,0,1,6,12,2,1,0,5,0,0,12,2,0,5,2,2.93,4.97
gyro_peaks_abnormal,0,2,0,21,0,0,0,1,1,2,0,0,13,18,0,0,0,1,0,0,1,1,1,1,23,0,0,14,0,1,0,0,0,1,0,0,0,0,4,0,1,1,0,0,1,0,1,9,0,0,6,0,0,1,8,0,0,0,4,0,1,1,0,3,28,8,0,0,0,0,0,2,0,0,2,0,0,0,0,2,13,3,0,11,3,9,0,0,0,23,0,0,19,4,0,4,0,2.82,5.86
gyro_t_kurt_x,1,4,4,7,4,1,5,1,0,1,1,1,8,7,1,1,1,4,1,1,2,1,1,1,11,1,1,7,1,2,1,1,1,0,1,1,1,1,5,1,1,4,3,7,1,1,6,7,1,1,5,1,1,2,6,1,4,1,6,1,1,3,1,7,9,6,1,2,1,1,1,4,1,4,4,1,1,1,2,5,5,5,1,6,9,4,4,0,1,6,1,1,5,5,1,6,1,2.8,2.49
acc_f_skew_x,0,3,2,5,0,0,2,1,1,4,0,0,19,6,1,0,0,1,0,1,2,0,1,1,11,0,0,4,0,4,0,0,0,0,0,1,0,2,3,0,0,0,5,5,1,0,5,13,0,1,2,2,1,1,17,0,13,0,8,1,0,3,0,5,21,11,0,1,0,0,0,1,0,2,1,1,0,0,0,3,1,6,1,8,8,3,3,1,0,17,0,0,10,6,2,4,0,2.77,4.46
acc_t_amp_y,0,1,1,16,2,0,3,0,1,4,1,0,31,6,1,1,0,4,0,0,3,1,0,0,15,0,0,8,0,3,0,1,0,0,1,1,0,0,0,0,1,4,3,4,0,0,2,1,1,1,6,0,0,2,20,0,3,1,3,0,1,0,1,5,15,6,0,1,0,0,0,3,0,2,4,0,1,0,1,3,9,1,0,6,6,3,0,1,0,26,0,1,10,0,0,4,1,2.76,5.27
gyro_t_yzCor,0,4,4,10,0,1,4,1,0,3,3,1,13,5,1,1,1,2,0,0,1,2,0,2,23,0,0,5,1,2,2,0,0,0,0,2,0,1,5,0,0,2,1,10,0,3,3,6,0,0,3,1,1,0,4,2,8,1,2,2,2,3,1,2,11,3,0,3,1,1,1,2,1,4,4,0,0,0,2,0,3,5,1,9,9,6,5,1,3,20,1,1,6,2,0,1,0,2.71,3.86
gyro_a_mainY_x,1,1,3,8,2,0,3,0,0,4,0,0,24,12,0,0,0,1,0,0,0,0,1,0,21,0,0,8,0,1,0,0,0,1,0,0,0,0,4,1,1,1,4,3,1,0,3,12,1,0,1,1,0,0,11,0,8,0,3,0,0,1,0,3,16,7,0,0,1,0,0,1,0,4,0,0,0,0,0,1,10,5,0,3,2,7,7,0,0,29,0,0,7,1,0,8,0,2.67,5.17
acc_t_amp_x,0,3,7,19,2,0,3,0,0,2,0,0,11,4,0,1,0,4,2,1,4,3,0,0,13,0,1,6,0,0,1,1,0,0,0,0,0,0,9,0,0,2,1,5,0,0,2,6,0,0,5,0,0,1,6,0,9,1,3,1,0,5,0,3,26,3,0,1,1,0,0,5,2,4,6,1,0,1,2,3,11,5,0,6,6,2,3,0,0,9,0,0,7,4,2,1,0,2.66,4.14
gyro_p_interq_x,0,1,4,14,1,1,3,0,0,6,0,1,18,10,0,0,1,0,0,1,1,0,0,0,19,1,0,11,0,0,1,0,0,1,1,1,1,0,3,1,1,0,1,3,0,1,2,11,0,1,1,1,0,0,5,1,4,1,4,0,1,1,0,3,21,7,1,0,1,0,0,1,0,1,2,0,1,0,0,2,14,4,1,4,1,4,4,1,1,21,0,1,7,4,0,0,1,2.57,4.6
gyro_a_subY_a,1,4,4,5,4,1,5,1,0,1,1,1,6,6,1,1,1,5,1,1,3,2,0,1,5,1,1,6,1,3,1,1,1,0,1,1,1,1,5,1,0,5,2,5,0,1,5,4,0,1,6,0,1,3,5,1,2,1,5,1,1,1,1,7,6,6,1,1,1,1,1,5,1,4,4,1,1,3,3,7,6,5,1,5,6,4,3,0,1,5,1,1,5,6,3,5,1,2.56,2.09
acc_t_skew_x,1,1,3,11,0,1,5,0,0,5,0,1,10,6,0,0,2,2,0,0,0,1,1,0,14,1,1,12,1,3,1,0,0,1,0,0,1,0,6,1,1,2,2,7,0,2,3,9,0,0,3,1,1,0,9,1,13,1,6,1,1,2,0,1,8,7,1,0,1,1,1,2,0,1,2,1,1,1,1,0,11,6,0,6,4,4,1,1,1,11,1,1,9,2,0,3,1,2.56,3.42
acc_a_max_z,1,4,4,4,4,1,5,1,0,2,1,1,6,6,1,1,1,4,1,1,2,1,1,1,7,1,1,5,0,2,1,1,1,0,1,1,1,1,4,1,1,4,3,5,1,1,5,5,1,0,5,1,1,2,5,1,5,1,5,2,1,3,1,6,5,5,1,1,1,0,0,5,1,4,3,1,1,0,2,5,6,5,1,6,5,5,4,0,2,5,1,1,5,5,0,4,1,2.45,1.98
acc_a_cftor_x,0,5,4,21,3,1,1,1,0,2,0,1,14,6,0,0,1,1,1,0,0,1,1,1,17,1,0,7,2,0,1,1,1,1,0,0,0,0,7,1,1,2,1,4,1,1,1,3,1,0,2,1,1,2,7,1,1,0,3,1,0,1,0,5,11,2,0,1,0,0,1,3,0,5,1,1,0,1,1,3,15,1,0,7,3,3,4,0,1,10,0,0,10,5,1,4,0,2.45,3.83
gyro_f_subY_x,0,3,0,7,1,1,2,2,0,1,0,1,36,4,0,0,1,1,0,0,0,2,0,2,11,0,1,6,1,2,2,0,1,0,0,0,0,1,10,0,0,0,0,7,0,1,1,4,0,0,1,0,0,0,14,0,7,0,1,1,0,0,0,3,20,6,0,1,0,0,1,2,0,1,0,1,0,1,0,1,8,4,0,7,2,3,0,0,1,21,2,1,7,2,0,4,0,2.42,5.12
acc_a_entr_x,0,3,2,2,5,1,6,1,0,5,1,0,22,5,0,0,0,5,0,0,2,2,0,2,6,0,0,7,0,0,1,0,0,0,0,0,0,0,7,0,0,3,2,5,0,2,2,5,0,1,2,0,0,2,14,0,7,0,3,1,0,0,0,5,17,7,0,0,0,1,1,5,0,1,4,0,1,1,2,6,4,5,2,2,4,4,2,0,1,9,1,1,4,4,0,3,0,2.38,3.58
gyro_fea_infory,0,0,0,14,0,0,3,0,0,3,0,0,28,7,0,0,0,1,0,0,0,1,0,0,18,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,3,4,0,0,6,0,0,0,12,0,5,0,4,0,0,0,0,2,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,7,6,8,2,0,0,30,0,0,6,4,0,3,0,2.37,5.35
acc_f_peakXY1,0,3,4,21,1,1,2,0,1,1,0,0,21,8,0,1,0,4,0,0,0,0,0,1,11,0,0,7,0,1,1,0,0,0,0,0,1,0,6,0,1,1,1,4,0,0,1,4,0,0,4,1,1,0,10,0,2,0,3,0,0,2,1,4,12,9,1,0,0,2,0,2,1,1,1,0,1,1,1,5,6,3,1,4,2,6,1,0,1,12,1,1,10,2,2,3,0,2.35,3.94
acc_f_cftor_x,0,3,0,5,0,0,2,0,0,6,0,0,21,13,0,0,0,2,0,0,0,1,0,0,2,0,0,7,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,2,4,0,0,1,0,0,1,16,0,7,0,12,0,0,2,0,4,7,12,0,0,0,0,0,3,0,3,3,0,0,0,0,3,8,2,0,2,1,9,3,0,0,20,0,0,10,2,1,9,0,2.25,4.26
acc_p_lgEnergy_y,0,1,3,4,2,1,3,0,2,2,0,0,7,9,0,0,0,3,0,1,1,0,1,0,10,1,0,9,0,0,0,0,0,1,0,0,0,0,5,0,0,2,1,7,1,0,6,3,0,1,5,2,0,2,16,0,8,0,4,1,0,2,1,7,7,11,0,0,0,1,1,6,0,0,4,0,0,2,0,4,5,0,0,4,6,4,0,0,0,8,1,0,9,6,1,1,0,2.23,3.17
acc_p_interq_x,1,0,1,19,0,0,1,0,0,7,1,1,15,10,0,1,1,0,1,1,0,0,0,0,16,1,0,12,1,1,0,1,0,1,1,0,1,0,5,0,1,1,0,0,0,0,2,9,1,0,0,0,0,0,3,0,5,1,3,0,0,0,0,2,15,10,1,0,1,0,0,1,1,1,0,1,0,0,1,0,13,2,0,1,2,7,1,0,0,10,0,0,9,2,0,4,1,2.19,4.1
gyro_a_peakXY3,0,3,2,7,3,2,3,2,0,2,0,0,7,4,1,0,0,4,0,0,2,3,1,2,12,0,1,9,0,1,1,0,0,1,0,0,0,0,6,1,0,2,3,4,0,2,2,3,0,1,1,0,1,2,8,1,6,0,4,2,1,4,1,1,7,3,1,0,0,0,2,1,0,4,3,0,1,2,2,4,7,2,1,6,3,2,2,0,1,11,1,1,5,4,2,5,0,2.19,2.51
gyro_t_skew_x,0,0,0,4,0,0,0,0,0,2,0,0,22,9,0,0,0,2,0,0,2,1,0,0,11,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,4,0,5,0,0,6,4,0,0,4,1,1,2,12,0,2,0,6,0,0,1,0,4,12,16,0,0,0,0,0,3,0,0,3,0,0,0,0,3,2,2,0,7,4,10,1,1,0,20,0,0,6,2,1,4,0,2.15,4.16
acc_t_skew_a,0,2,2,7,5,0,2,1,0,3,1,0,11,4,1,1,0,2,1,0,3,2,1,0,6,0,0,9,1,0,0,2,1,1,1,1,0,0,4,0,0,2,0,3,1,0,2,14,1,1,2,1,0,3,8,0,1,1,6,2,1,1,1,2,6,8,0,0,1,0,1,4,1,1,3,1,1,1,1,3,6,2,0,7,4,4,2,1,0,8,0,1,7,4,1,0,1,2.14,2.69
acc_a_peakXY4,0,0,1,9,2,1,2,0,0,0,0,0,22,8,0,0,0,3,0,0,2,1,0,0,15,1,1,5,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,4,0,0,0,8,0,0,1,0,0,2,8,1,3,0,0,1,0,1,0,3,19,9,0,1,1,1,1,3,0,0,1,0,0,1,0,3,8,5,0,4,2,3,0,0,0,15,1,0,8,4,0,0,0,2.09,4.04
acc_a_amp_y,1,3,0,5,2,0,4,0,0,9,0,0,13,10,0,0,0,0,0,0,0,0,0,0,8,0,1,4,1,1,0,0,0,1,0,0,1,0,3,1,1,1,4,4,0,0,8,12,0,0,1,1,1,1,4,0,9,0,8,0,0,1,0,1,13,5,0,0,0,0,0,1,1,1,0,0,0,0,0,2,6,6,0,6,4,6,1,0,0,10,0,0,5,1,1,5,1,2.06,3.25
acc_p_mean_a,1,3,3,4,3,1,4,1,0,1,1,1,7,5,1,1,1,3,1,1,1,2,1,1,5,1,1,5,0,1,1,1,1,0,1,1,1,1,4,1,1,3,2,4,1,1,3,3,1,0,6,1,1,1,5,0,0,1,5,1,1,2,1,4,5,5,1,1,1,0,1,3,1,3,3,1,0,1,1,4,4,4,1,5,4,3,3,0,1,5,1,1,5,4,2,4,0,2.05,1.69
