acc_fea_samplex,8,9,111,179,11,39,10,8,8,9,8,7,302,49,7,10,17,11,10,33,60,23,9,16,10,8,19,10,28,8,8,127,9,9,10,10,10,22,10,426,9,9,9,10,10,33,58,8,154,9,7,11,37,11,228,9,8,8,277,10,22,115,70,17,7,28,10,8,69,8,12,10,359,9,9,306,9,11,16,66,9,9,321,8,9,6,7,9,9,110,8,46.8,86.6
acc_peaks_normal,5,5,97,162,7,36,6,3,3,4,5,5,244,39,4,6,9,5,7,23,58,20,4,8,4,4,8,5,20,5,6,139,4,6,8,9,9,10,7,280,5,6,3,6,4,17,50,7,129,5,4,8,24,1,177,2,8,9,235,5,18,117,65,8,8,15,4,5,50,6,10,5,249,5,5,195,8,6,8,64,6,5,230,5,7,7,9,7,6,88,6,35.4,65.08
acc_fea_autoy,6,8,84,144,4,32,5,7,6,6,5,5,256,38,7,4,13,5,4,26,47,7,3,9,8,7,14,7,21,4,5,122,7,6,5,6,1,12,5,295,7,5,6,7,5,23,46,7,127,7,4,3,30,4,164,4,5,5,228,6,12,91,47,7,7,21,6,5,44,6,5,7,193,4,7,198,3,4,12,43,6,6,211,7,7,7,6,6,4,76,4,33.09,61.85
gyro_fea_auto_num,7,7,54,135,7,28,7,6,5,7,6,6,201,36,7,8,15,7,7,29,37,10,8,18,6,7,16,6,18,8,8,110,7,6,7,6,5,15,5,254,7,7,6,6,7,18,32,6,91,6,8,4,20,7,147,7,5,5,177,7,12,75,40,15,6,17,7,8,33,6,7,7,265,6,6,196,5,6,17,41,5,6,204,7,6,7,6,7,6,52,6,30.79,56.47
acc_fea_auto_num,5,5,71,127,3,28,6,7,4,6,4,4,193,28,4,6,12,4,7,20,50,14,6,9,5,6,13,5,15,4,6,96,7,5,5,7,2,12,5,256,7,5,5,7,6,17,37,4,99,6,4,3,18,3,158,3,7,6,204,3,14,96,53,9,5,19,5,3,50,7,7,5,262,5,7,149,5,5,12,49,6,5,195,7,8,6,4,6,6,63,6,30.25,56.36
acc_fea_sampley,5,4,56,101,5,26,7,6,7,5,6,8,174,30,7,7,9,7,5,21,45,13,8,9,3,6,9,6,15,8,5,93,6,7,7,8,9,9,6,235,6,6,6,7,6,10,38,5,70,6,8,8,22,6,150,8,5,4,162,8,11,56,43,8,3,12,5,9,33,6,6,4,228,6,6,151,7,7,11,47,7,8,166,5,6,7,5,6,11,72,6,27.49,49.2
gyro_fea_samplex,6,6,62,106,5,25,6,8,5,6,7,6,160,27,6,6,12,7,8,16,42,5,6,10,5,6,9,5,17,6,7,86,5,5,4,6,6,8,5,199,6,6,6,5,6,17,37,4,83,6,6,5,22,8,108,9,8,6,144,5,10,73,42,10,4,16,7,6,50,7,5,3,136,5,7,140,8,5,13,37,6,6,182,7,8,5,7,8,5,53,5,25.33,42.5
acc_peaks_abnormal,5,5,71,102,4,23,4,4,3,5,1,5,180,27,3,4,5,4,6,10,49,11,2,3,3,4,5,4,12,3,6,93,4,4,4,4,6,7,7,232,3,4,3,4,4,10,37,4,93,4,4,5,15,2,119,2,5,6,155,3,12,69,47,3,4,9,4,1,28,4,6,3,211,3,4,121,4,3,4,44,6,4,162,4,4,4,0,4,1,58,5,24.75,47.95
gyro_fea_sampley,4,4,50,114,1,24,4,4,4,4,4,4,159,25,3,4,9,3,4,21,21,3,4,9,4,3,10,3,14,4,4,85,4,3,1,3,1,10,3,202,4,4,4,1,4,13,27,3,71,4,4,1,21,3,135,4,3,3,173,3,4,57,22,10,3,12,4,4,32,4,1,4,184,3,3,138,4,4,8,25,2,4,200,4,4,4,3,4,3,47,4,23.41,46.86
acc_p_lgEnergy_y,3,4,35,95,3,20,2,2,4,4,3,5,139,23,4,4,8,3,4,15,26,3,4,9,5,4,7,4,11,3,4,90,3,3,4,4,4,7,2,204,3,3,4,3,3,11,26,5,76,4,3,4,16,5,136,5,2,2,142,3,6,52,25,10,4,8,3,5,18,3,3,2,152,3,3,119,2,2,6,25,5,4,187,4,5,3,4,3,2,38,3,21.38,42.73
