acc_fea_samplex,10,9,8,10,137,13,18,10,18,175,315,33,9,322,8,11,9,299,34,25,6,9,67,11,49,9,11,11,36,8,9,28,15,7,94,9,26,39,16,56,252,30,19,5,8,9,21,6,39,23,62,423,70,8,19,18,27,10,24,429,275,185,185,148,7,12,155,12,12,10,64,10,9,10,39,185,7,59,317,506,18,4,7,67,435,27,59,11,5,513,389,33,365,14,157,89,10,5,20,12,79.38,125.26
acc_peaks_normal,10,8,13,9,106,7,18,11,20,137,226,45,13,245,9,11,10,264,45,30,10,15,50,12,65,15,10,12,41,15,12,28,20,12,77,12,29,33,20,45,172,30,24,12,13,9,20,13,26,28,51,275,80,12,18,19,26,12,23,369,186,159,128,123,13,12,139,13,10,12,59,7,12,14,48,146,12,48,274,335,20,14,14,54,295,29,53,12,10,363,264,56,227,20,138,68,12,13,18,7,64.39,89.05
acc_fea_auto_num,7,2,9,6,97,6,9,7,7,133,241,24,6,242,6,7,7,254,30,15,7,5,48,8,55,8,6,5,21,7,7,15,13,7,71,5,15,21,10,46,181,14,7,8,6,4,7,5,25,14,46,298,66,5,9,9,14,4,13,304,197,147,115,93,4,7,105,5,8,7,51,4,7,5,31,140,7,40,308,365,8,8,8,55,332,17,40,5,7,364,261,26,267,13,105,56,4,7,9,5,57.77,93.34
acc_fea_sampley,6,9,8,10,144,7,10,6,15,134,224,36,5,239,10,8,5,235,29,19,8,6,45,8,46,8,9,8,39,9,6,18,13,8,76,8,18,42,11,45,149,17,10,6,7,6,10,10,49,21,49,243,58,7,12,13,22,8,10,276,175,155,150,108,9,9,128,5,7,7,54,8,8,6,41,168,8,34,217,334,10,9,6,62,265,26,47,8,11,321,249,36,231,12,106,73,3,9,11,7,57.06,82.63
gyro_fea_sampley,1,1,2,2,84,3,11,1,10,84,181,29,2,202,3,2,1,188,23,16,2,2,35,1,36,2,2,2,31,2,2,18,9,1,62,2,17,29,9,40,194,15,12,2,2,2,11,2,29,16,31,238,47,3,9,12,15,1,9,240,200,117,104,78,2,1,87,2,3,2,36,3,2,2,35,113,1,41,217,273,9,1,2,45,245,15,32,2,1,268,194,31,194,9,86,50,1,3,8,3,45.58,72.7
gyro_fea_samplex,8,7,5,3,86,6,13,4,10,91,144,29,5,175,7,5,9,173,25,19,7,4,29,6,34,4,4,4,19,3,4,15,11,4,48,4,17,22,11,28,124,13,9,8,7,7,9,3,18,16,30,184,38,8,10,13,16,4,16,198,132,92,94,71,4,6,94,5,6,7,31,9,5,5,30,115,5,36,187,214,9,7,3,33,200,21,32,5,9,216,196,25,157,8,64,41,10,7,13,7,40.44,58.68
acc_fea_autoy,4,6,4,5,86,3,10,5,10,62,121,29,3,138,4,3,5,131,28,17,2,2,41,6,38,2,4,3,30,2,3,19,8,5,51,4,15,31,13,36,96,11,12,2,5,3,11,3,27,14,39,165,45,2,10,9,22,5,8,148,109,67,71,67,3,6,82,3,3,2,42,5,2,4,50,77,5,50,124,152,14,3,1,44,142,24,50,7,5,177,160,31,113,8,60,58,3,5,10,7,34.72,45.5
gyro_fea_auto_num,5,2,4,6,58,5,8,5,6,61,127,14,5,113,5,6,5,116,17,10,6,6,23,5,25,5,6,5,11,6,4,11,10,6,39,2,10,17,5,25,91,8,5,6,2,4,6,5,14,10,23,149,34,5,9,8,7,5,8,172,115,72,71,53,3,7,63,4,5,5,24,2,5,3,13,68,6,19,156,212,7,4,4,21,193,7,21,2,7,181,143,16,128,7,48,29,4,5,7,5,31.21,48.9
gyro_fea_autoy,2,4,3,1,58,0,7,0,8,89,128,23,3,141,0,1,2,113,20,13,0,4,32,0,32,3,1,3,23,3,4,12,4,2,43,4,8,23,12,25,90,16,9,0,4,0,10,3,25,13,25,128,30,0,6,5,12,1,9,163,107,86,95,66,8,2,55,4,0,3,32,8,3,4,27,73,2,28,82,159,7,3,4,32,124,11,35,3,0,192,127,33,129,8,74,37,2,2,10,2,30.82,44.68
gyro_peaks_normal,5,4,4,3,66,5,9,5,5,55,123,17,4,139,4,4,5,124,15,9,4,2,25,4,25,2,4,3,19,2,2,9,5,4,37,2,9,14,6,32,106,5,6,7,4,3,6,3,17,8,25,141,25,4,8,6,13,1,4,158,113,77,74,55,2,3,64,0,5,3,36,3,4,4,14,70,4,32,140,167,10,5,3,15,178,12,22,0,4,183,121,18,138,7,60,25,4,3,9,5,30.57,46.95
acc_t_xaCor,3,5,2,3,61,4,7,2,7,52,90,20,2,121,2,3,3,71,18,11,4,3,27,2,25,3,3,2,18,3,2,9,8,5,32,4,11,10,7,21,50,13,10,4,2,5,7,4,27,12,20,107,33,3,5,6,9,4,10,97,47,57,54,48,5,2,64,4,3,2,29,2,2,4,33,58,6,29,120,165,6,3,3,34,135,9,22,4,4,155,126,17,100,5,45,35,5,4,6,4,25.7,36.99
gyro_peaks_abnormal,3,3,4,5,38,3,4,4,5,49,85,14,4,86,5,5,4,93,13,8,3,4,21,4,19,4,5,4,10,4,4,9,7,4,23,4,7,13,6,18,76,10,6,4,4,4,5,5,15,8,18,107,30,3,7,5,8,5,7,122,92,71,60,43,3,4,38,4,3,4,20,4,4,4,14,63,3,18,128,119,6,4,4,22,119,8,17,3,3,132,96,12,98,9,46,26,3,3,6,3,23.76,34.53
