acc_fea_sampley,12,11,25,75,14,14,12,15,143,49,13,11,12,89,95,15,278,187,11,11,48,60,156,11,50,12,20,11,10,17,106,159,73,103,42,14,105,17,15,281,11,376,11,11,16,12,12,58,15,255,14,380,11,15,13,14,12,14,15,18,31,333,12,229,31,16,11,340,17,31,14,48,13,14,88,17,417,14,16,298,13,149,46,261,26,276,224,13,15,13,12,73.88,104.16
acc_peaks_normal,4,9,13,33,9,4,6,5,114,31,5,3,7,43,36,7,221,122,10,7,28,38,90,9,31,5,16,7,5,4,89,119,40,82,23,6,70,5,7,227,5,291,10,3,7,7,5,28,8,170,6,262,9,6,12,6,9,5,5,6,16,224,3,165,19,4,6,228,3,20,6,19,11,5,58,6,324,5,8,235,5,87,24,192,11,123,154,3,3,5,5,48.65,76.67
acc_fea_samplex,6,7,15,35,6,11,10,8,78,32,6,11,9,45,43,8,171,137,8,8,37,24,148,11,27,9,11,7,8,7,62,96,28,85,27,9,55,6,13,178,9,304,6,8,9,10,6,30,8,130,10,316,11,6,11,9,6,7,7,8,18,186,10,145,25,9,11,222,10,21,9,19,10,13,50,9,297,7,6,216,11,76,25,156,22,174,155,7,10,6,9,47.88,72.77
acc_fea_autoy,8,7,9,37,6,5,5,6,80,34,6,6,2,58,65,4,143,94,6,8,23,20,101,10,27,5,10,8,6,6,74,105,35,88,23,5,48,6,3,184,4,214,3,10,3,6,4,24,5,145,4,243,9,7,7,6,7,6,5,3,16,173,3,109,19,5,7,183,4,14,6,28,5,5,43,3,259,6,7,201,4,94,25,137,16,123,126,4,3,6,5,40.99,61.55
acc_fea_auto_num,0,3,11,32,4,0,0,3,92,28,2,2,0,45,52,3,166,99,0,2,28,31,75,0,26,0,8,3,2,2,72,116,37,75,18,2,47,3,2,179,1,259,2,3,0,3,0,26,3,156,1,203,2,5,2,3,4,3,3,5,10,165,0,154,10,1,6,206,2,13,2,18,3,3,61,2,264,2,4,194,0,100,15,160,10,148,118,2,0,3,0,39.89,65.53
gyro_fea_auto_num,9,3,10,26,4,8,8,4,81,28,5,6,10,44,43,8,126,80,5,4,27,23,105,6,25,7,12,5,6,7,54,72,25,64,20,3,50,7,6,152,6,222,7,5,6,5,7,23,6,119,5,233,4,6,6,6,3,5,6,4,17,175,7,114,12,6,4,176,5,18,3,14,7,5,34,6,265,6,6,202,7,67,21,130,5,170,121,9,7,7,5,38.49,60.04
gyro_fea_samplex,7,7,7,22,6,2,6,2,82,12,4,2,3,34,29,4,210,67,3,4,20,15,63,4,16,0,11,7,3,5,74,83,25,79,16,8,46,4,1,169,5,211,7,3,3,5,1,24,4,126,4,164,4,5,1,4,7,3,3,3,11,156,0,159,16,3,4,198,7,14,5,15,4,2,36,5,253,4,3,218,2,81,11,142,5,139,137,4,3,2,3,37.26,61.73
acc_peaks_abnormal,5,3,5,20,5,3,3,3,92,31,5,4,3,45,53,3,110,90,4,4,17,29,79,4,26,3,10,2,3,3,62,107,31,71,20,2,48,3,3,143,3,215,3,4,4,5,4,27,4,121,3,157,4,4,4,3,3,3,3,2,12,167,3,121,11,4,4,154,4,12,4,16,2,2,46,2,238,4,3,160,4,75,17,135,11,107,118,3,4,8,4,35.03,54.12
gyro_fea_autoy,4,5,9,29,3,5,5,5,65,27,5,6,6,36,45,5,128,64,6,8,24,25,78,4,26,6,9,5,6,7,54,68,29,59,23,4,43,5,7,111,7,182,5,7,5,6,8,31,5,98,4,166,5,5,5,5,4,5,5,4,19,165,6,99,14,3,4,156,5,14,6,20,3,5,41,5,221,6,3,134,5,66,21,137,11,100,93,5,5,4,4,32.98,48.45
gyro_fea_sampley,3,0,9,42,5,1,2,2,62,30,1,2,3,50,36,3,111,76,1,2,31,17,76,1,30,3,7,0,1,3,49,89,37,53,23,2,48,3,4,121,3,211,3,2,1,3,2,14,1,119,3,176,1,5,1,2,0,2,2,2,13,168,1,109,14,1,2,150,3,12,2,15,2,2,51,4,230,2,3,159,1,68,22,126,6,136,89,3,3,4,2,32.91,52.87
