acc_fea_sampley,65,19,224,10,9,13,10,10,10,13,21,13,18,12,51,15,21,35,27,16,14,12,10,18,13,24,35,11,135,17,12,14,10,44,14,363,142,41,13,12,11,12,14,11,12,29,20,25,56,23,9,54,313,27,20,63,271,7,18,110,26,9,39,14,50,16,306,269,79,10,11,26,13,12,20,30,99,31,10,29,52,14,105,14,64,12,10,37,12,16,14,25,11,14,12,26,44,12,43.51,69.51
acc_fea_samplex,50,19,180,6,10,6,10,10,6,7,14,8,22,7,54,11,19,31,22,7,8,9,7,19,6,14,26,7,101,14,9,8,11,52,8,412,133,36,11,8,9,8,7,11,6,27,19,30,45,13,10,48,354,34,18,32,256,6,18,83,17,12,37,8,50,21,379,282,78,7,10,15,5,6,18,23,69,26,8,20,31,11,108,8,54,7,7,36,7,11,10,26,10,11,4,25,31,11,40.11,75.74
gyro_fea_samplex,45,11,161,7,8,6,9,10,7,4,12,10,16,8,52,13,19,33,23,5,14,8,6,17,9,16,33,8,94,15,8,8,11,54,9,342,135,38,11,12,7,6,7,8,5,26,19,27,37,16,8,36,309,29,14,45,231,7,15,78,18,8,31,10,41,22,300,276,73,7,10,17,6,6,12,32,78,23,5,22,31,9,94,11,56,6,6,31,6,12,5,19,8,8,7,25,33,11,36.86,65.48
acc_peaks_normal,44,13,171,8,4,6,9,8,7,7,13,7,15,8,39,8,15,22,20,8,12,7,8,13,7,14,21,7,77,13,8,6,9,42,9,274,136,28,6,9,9,7,9,7,10,21,12,20,45,10,7,33,241,17,13,38,219,5,12,76,17,9,29,7,26,13,248,187,72,6,6,12,9,9,11,18,73,16,7,17,18,7,77,12,40,4,9,23,7,10,5,26,10,7,8,22,25,11,31.24,54.02
gyro_fea_sampley,41,8,196,4,5,3,5,4,3,3,7,4,12,3,44,4,12,20,16,2,5,2,2,9,2,10,27,2,79,12,4,3,5,37,5,329,75,39,3,5,5,3,3,4,3,17,11,17,38,9,4,37,267,20,9,36,228,3,9,61,11,5,32,5,40,12,275,228,59,3,6,9,3,3,10,18,64,15,3,16,20,4,83,5,31,3,3,25,2,6,3,14,4,4,4,17,34,5,29.79,61.17
acc_fea_autoy,35,12,107,12,11,11,6,9,8,10,11,11,12,9,34,10,15,25,12,12,9,10,8,12,9,12,20,11,68,15,7,12,8,41,10,207,127,31,8,13,8,7,9,11,12,17,13,21,42,15,6,37,175,22,12,34,151,9,14,73,13,10,31,10,35,14,166,163,62,9,9,14,10,11,15,16,60,17,11,25,22,9,64,10,44,9,12,22,9,9,11,18,9,9,9,14,27,10,27.71,39.39
gyro_peaks_normal,33,13,162,4,4,7,5,5,8,5,14,5,12,5,39,5,13,32,17,3,5,4,3,14,5,11,24,6,64,13,6,4,5,43,4,251,69,38,5,4,3,5,3,5,5,23,12,20,45,9,6,32,211,31,9,36,229,5,11,71,8,6,32,4,37,12,221,152,53,4,8,12,6,6,13,16,55,20,4,21,20,3,63,4,43,6,3,31,5,3,5,23,7,2,6,22,32,5,27.68,48.99
acc_fea_auto_num,33,6,129,1,1,3,1,1,2,2,9,2,5,1,34,1,5,14,11,2,1,1,1,6,1,5,14,1,62,6,2,0,1,30,1,245,87,32,1,3,1,1,2,1,4,11,5,11,37,7,3,33,218,16,5,24,200,1,5,58,5,3,26,1,25,4,200,160,56,1,0,9,2,2,4,12,55,9,2,10,19,1,66,2,32,2,2,14,2,1,2,16,5,1,2,14,27,2,22.47,47.5
acc_peaks_abnormal,42,11,117,8,6,4,6,6,5,6,5,6,9,7,32,5,6,12,13,6,7,6,6,9,6,12,14,6,48,8,8,4,6,22,6,218,64,23,7,6,6,7,4,5,4,9,8,10,29,10,4,20,193,13,12,29,119,5,11,36,11,5,22,7,21,8,191,142,40,8,6,8,5,6,7,8,39,8,5,8,18,8,50,7,24,4,5,12,5,9,4,7,3,6,7,9,20,4,21.32,39.38
gyro_fea_autoy,23,8,127,6,5,6,7,5,7,8,8,7,8,5,22,5,10,13,17,4,6,3,3,8,5,4,15,4,44,9,3,5,6,27,7,162,67,21,5,8,5,5,6,8,5,17,6,15,33,8,3,22,128,17,7,21,156,3,8,45,8,10,8,5,20,7,136,113,44,6,6,5,8,5,6,12,36,11,4,12,17,6,42,5,29,6,4,19,6,4,6,11,7,7,6,11,17,9,19.44,32.4
gyro_peaks_abnormal,23,7,107,4,4,2,4,4,3,2,2,2,4,4,25,3,3,8,6,4,3,5,4,4,4,3,7,5,36,4,5,3,4,13,4,143,60,21,4,4,4,4,3,5,2,2,4,5,26,4,3,6,160,7,4,15,191,5,6,34,4,4,10,4,9,5,170,92,35,4,5,4,2,2,5,5,31,5,3,5,6,5,41,4,12,3,4,6,2,3,2,2,2,4,2,4,11,3,15.99,35.27
gyro_fea_auto_num,26,8,81,2,2,1,5,5,6,2,7,5,10,2,18,3,5,13,8,2,3,5,2,8,3,6,6,5,28,4,2,1,3,16,3,145,54,14,5,3,2,5,6,3,2,11,8,7,16,5,5,17,135,12,8,16,142,2,6,24,8,3,9,6,14,6,128,134,27,4,4,7,3,3,7,6,24,7,4,5,11,5,27,4,18,3,4,11,3,3,2,8,3,5,2,6,10,3,15.27,30.31
acc_t_xaCor,24,9,74,4,4,6,1,1,1,3,7,2,4,2,17,2,4,9,7,2,3,3,1,3,2,7,11,1,30,5,3,3,2,17,2,120,35,10,1,1,4,2,3,2,3,3,5,5,31,6,1,9,138,10,3,18,102,2,4,26,5,5,9,1,9,5,113,65,30,3,1,4,2,2,6,5,22,9,2,5,12,1,32,1,15,3,2,6,3,1,2,8,4,2,2,7,9,1,12.59,25.0
acc_t_zaCor,6,4,51,0,1,1,1,3,1,0,2,2,2,1,12,1,3,7,2,0,3,2,1,4,0,2,4,1,22,3,1,1,1,19,0,135,24,9,1,0,0,1,1,1,0,2,5,4,14,1,3,3,108,5,1,11,121,1,1,22,0,1,5,1,11,3,107,76,23,0,2,2,0,0,2,4,14,2,0,4,3,1,22,1,9,0,0,6,1,1,0,2,0,1,0,1,6,0,9.68,24.77
acc_p_lgEnergy_x,7,4,73,1,2,3,2,1,1,1,0,1,4,2,6,1,4,9,4,1,1,1,2,4,2,2,8,1,14,3,2,1,1,14,1,64,22,11,1,1,1,1,1,1,1,6,3,5,13,2,1,5,109,8,2,10,78,2,3,13,2,2,6,1,6,3,92,76,13,1,2,4,1,1,3,5,16,5,1,5,6,1,24,1,6,1,1,6,1,1,1,7,1,1,1,4,5,1,8.8,19.65
