gyro_p_lgEnergy_y,0,16,1,14,1,1,1,1,0,4,4,1,17,8,0,1,1,1,1,1,1,1,0,17,3,1,5,0,1,8,20,2,0,3,5,17,20,0,4,3,1,0,13,1,2,1,2,2,13,1,0,1,7,8,4,0,1,4.25,5.75
acc_f_peakXY1,2,2,1,2,0,1,1,1,0,2,0,1,22,11,0,0,1,1,0,1,1,1,0,8,4,1,10,1,1,9,9,4,0,6,0,6,6,1,4,2,0,2,22,1,9,1,0,0,24,1,1,0,12,11,1,1,1,3.68,5.61
gyro_p_lgEnergy_x,1,7,0,10,0,0,0,0,0,3,1,0,30,7,0,0,0,0,0,0,0,0,0,11,3,0,10,0,0,1,36,1,0,3,0,8,18,0,7,1,0,0,15,0,3,0,0,0,15,0,0,0,5,10,1,0,0,3.63,7.22
acc_t_yzCor,1,19,0,2,0,0,0,0,0,8,1,0,10,5,1,0,1,0,0,0,1,0,1,22,8,1,4,1,0,2,3,4,1,2,3,21,14,0,16,1,0,0,6,0,7,0,0,1,9,0,0,0,12,15,2,1,0,3.61,5.76
gyro_a_amp_y,0,9,0,14,0,0,0,0,0,4,1,0,17,6,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,2,16,4,0,0,2,15,27,0,7,1,0,1,12,0,6,0,0,0,10,0,1,0,2,22,1,0,0,3.51,6.46
acc_t_difX_z,2,5,1,11,0,1,1,1,0,2,1,1,17,6,2,0,0,1,0,1,1,1,0,15,4,1,8,1,1,6,4,3,0,4,4,8,18,1,4,2,0,1,11,1,6,0,0,0,10,1,1,0,3,6,1,1,1,3.19,4.29
acc_p_lgEnergy_x,0,12,1,8,1,1,0,1,1,0,3,1,26,4,2,0,2,1,0,0,0,1,1,8,2,1,5,0,1,1,11,1,0,0,2,19,11,1,14,1,2,1,7,0,5,1,0,1,8,0,1,1,1,5,0,0,0,3.11,5.09
acc_p_interq_a,1,9,1,8,0,1,1,1,0,2,0,0,18,3,2,0,0,0,0,1,0,1,1,15,4,1,0,1,1,4,9,1,0,4,3,7,10,1,7,2,0,1,9,1,6,0,1,0,11,1,1,0,4,14,0,1,1,3.0,4.24
gyro_a_mean_x,0,15,0,11,0,0,0,0,0,4,0,0,12,3,0,0,0,0,0,0,0,0,1,13,4,0,7,0,0,2,6,1,0,0,1,19,13,0,5,0,0,0,8,0,0,0,0,0,11,0,0,0,7,14,0,0,0,2.75,4.9
gyro_t_xyCor,0,3,0,5,0,0,0,0,0,2,0,0,9,4,0,0,0,0,0,0,0,0,0,2,3,0,3,0,0,5,7,1,0,7,0,8,34,0,4,0,0,0,15,0,2,0,0,0,13,0,0,0,5,6,0,0,0,2.42,5.41
acc_f_lgEnergy_x,2,0,1,0,0,0,1,1,0,0,0,1,19,1,0,0,0,1,0,1,0,1,0,5,3,1,2,1,0,9,1,3,0,6,1,4,4,1,3,3,0,1,9,1,8,0,0,0,17,1,1,0,11,8,0,0,1,2.35,4.01
acc_p_lgEnergy_y,2,2,1,6,0,0,1,0,0,2,1,0,11,4,2,0,0,1,0,1,0,1,1,8,4,1,11,0,0,3,5,0,0,0,1,6,7,0,9,1,1,2,5,0,5,0,1,0,11,1,0,0,5,4,1,1,1,2.28,3.06
gyro_p_entr_a,0,2,1,10,0,1,1,1,0,3,4,0,7,1,0,1,1,0,1,1,0,1,0,5,1,1,3,0,1,4,8,0,0,0,4,11,11,0,1,3,1,0,10,1,0,1,1,0,5,1,0,1,2,7,4,0,1,2.18,3.0
gyro_a_difX_y,2,0,0,5,0,0,0,0,0,2,0,0,7,5,0,0,0,0,0,0,0,0,0,7,5,0,3,0,0,4,4,3,0,3,1,6,9,0,7,1,0,0,11,0,5,0,0,0,11,0,0,0,5,5,0,0,0,1.95,3.01
acc_p_subY_x,0,7,0,9,0,0,0,0,0,1,0,0,9,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,5,4,0,0,0,13,7,0,2,0,0,0,11,0,0,0,0,0,3,0,0,0,7,16,1,0,0,1.91,3.81
acc_t_interq_y,0,2,1,6,0,1,1,2,0,3,4,1,6,1,0,1,1,0,1,1,0,1,1,6,1,1,3,0,1,5,6,0,0,1,4,6,5,0,4,3,1,1,6,1,3,1,1,0,2,1,0,0,1,2,4,1,1,1.86,1.93
acc_p_interq_x,1,7,1,8,0,1,1,1,0,0,1,0,10,5,0,1,0,0,1,1,1,1,1,4,0,1,3,0,1,1,7,2,0,1,1,2,12,0,1,1,1,0,8,1,0,0,1,0,5,1,1,1,4,3,0,0,1,1.86,2.7
acc_a_mainX_z,1,15,0,2,0,0,0,0,0,1,0,0,11,4,0,0,0,0,0,0,0,0,0,7,3,0,2,0,0,2,2,2,0,2,1,4,10,0,2,0,0,0,4,0,1,0,0,0,12,1,0,0,5,11,0,0,0,1.84,3.49
acc_t_xaCor,1,3,1,4,0,1,0,2,0,3,0,1,5,2,1,0,0,1,0,0,1,1,0,4,2,1,4,2,4,1,1,1,0,1,0,5,6,1,2,1,0,1,11,0,4,0,0,0,8,1,1,1,4,2,0,1,1,1.72,2.16
gyro_t_cftor_z,0,10,0,13,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,1,0,1,1,6,11,0,4,0,0,0,8,0,2,0,1,0,6,0,0,0,3,7,0,0,0,1.72,3.27
gyro_fea_infory,0,3,0,6,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,7,1,0,3,0,0,3,14,0,0,3,0,12,7,0,2,0,0,0,5,0,2,0,0,0,11,0,0,0,4,4,0,0,0,1.65,3.19
acc_t_kurt_y,1,6,0,2,1,0,0,0,1,2,2,0,5,3,0,0,1,0,0,0,0,0,0,4,3,0,5,0,0,1,1,1,0,2,0,5,9,0,3,1,1,0,4,0,3,1,0,1,5,0,0,1,5,4,1,0,0,1.49,2.02
acc_a_mainY_z,0,10,0,5,0,0,0,0,0,3,0,0,9,2,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,2,7,0,0,0,0,2,10,0,2,0,0,0,3,0,3,0,0,0,10,0,0,0,1,3,0,0,0,1.47,3.01
gyro_a_mainX_z,1,4,0,5,0,0,0,0,0,2,1,0,12,1,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,1,4,1,0,2,1,5,14,0,2,1,0,0,6,0,2,0,0,0,1,0,0,0,2,5,1,0,0,1.42,2.75
acc_f_interq_x,0,3,0,7,1,0,0,0,1,2,2,0,5,4,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,1,6,1,1,2,0,6,6,0,1,1,0,0,6,0,2,1,0,1,4,0,0,0,2,6,2,0,0,1.39,2.01
