acc_t_amp_y,1,1,1,1,1,5,9,1,1,0,1,2,1,1,0,1,0,1,1,1,1,1,1,1,1,6,4,1,2,1,1,1,4,0,17,1,0,1,1,2,1,1,0,10,1,8,1,1,1,1,2.04,3.08
acc_t_xzCor,0,1,0,2,1,10,3,1,0,1,1,1,0,0,1,1,1,1,2,0,1,2,0,2,0,5,3,0,8,1,2,1,5,0,12,1,0,1,1,1,0,0,1,10,1,13,1,1,1,1,2.04,3.13
acc_t_mean_z,1,1,0,2,2,4,3,2,2,0,0,2,2,0,1,0,0,1,2,2,0,0,1,3,1,2,5,0,3,1,2,1,0,2,10,2,1,2,2,2,1,2,2,2,0,0,2,0,2,0,1.56,1.67
acc_t_max_x,1,1,1,1,1,3,4,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,3,1,4,3,0,7,1,1,0,4,1,3,1,1,1,1,1,1,1,1,2,1,12,1,2,1,0,1.56,1.99
acc_t_xaCor,1,0,0,0,0,5,8,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,7,3,0,2,0,0,0,3,2,21,0,0,0,0,1,0,0,0,1,0,9,0,1,2,0,1.48,3.48
gyro_f_entr_z,0,1,1,1,1,12,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,6,1,1,1,6,0,6,1,0,1,0,0,0,0,0,4,1,6,1,0,2,1,1.26,2.26
acc_a_difY_y,1,1,0,2,1,1,2,1,1,0,0,1,1,0,1,0,0,2,2,1,0,1,1,3,1,3,5,0,5,1,2,0,1,0,5,1,1,1,1,1,1,2,0,2,1,0,1,0,2,0,1.2,1.25
acc_f_peakXY4,1,1,0,1,1,3,1,1,1,0,0,1,1,1,0,1,2,1,1,1,0,0,1,3,1,3,4,1,5,1,1,1,0,1,5,1,1,1,1,1,1,1,1,2,0,0,1,1,1,0,1.18,1.14
acc_t_entr_x,1,0,0,1,0,2,6,1,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,2,2,2,1,0,1,1,2,0,3,2,4,0,13,0,1,1,0,1.16,2.06
gyro_p_lgEnergy_a,0,0,0,0,0,4,2,0,0,3,1,0,0,0,0,0,0,1,0,0,1,1,0,3,0,8,3,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,13,0,0,1,0,1.08,2.43
acc_a_interq_a,0,1,0,1,1,4,0,0,0,1,2,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,6,0,10,1,0,1,0,0,0,0,0,4,1,7,1,0,1,2,1.06,1.95
acc_fea_infory,0,0,0,0,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,0,0,0,3,0,8,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,1.02,2.54
acc_a_sma_y,1,1,0,1,1,3,2,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,2,1,1,4,0,3,1,1,0,1,1,5,1,1,1,1,1,1,1,1,2,0,1,1,0,1,0,1.0,1.01
acc_t_rms_y,0,1,1,1,1,0,4,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,4,3,1,0,1,1,1,3,0,0,1,0,1,1,0,1,0,0,4,1,4,1,0,1,1,1.0,1.11
acc_p_lgEnergy_x,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,3,0,0,0,1,1,20,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0.94,3.16
gyro_a_subY_y,0,0,1,1,0,1,4,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,7,2,0,2,0,1,0,2,0,1,0,0,0,0,0,0,1,0,2,1,6,0,1,0,0,0.78,1.43
gyro_p_interq_x,1,0,0,0,0,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,6,0,4,0,1,0,0,0.78,1.95
gyro_t_max_z,0,1,1,1,1,0,4,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,2,3,1,0,0,1,1,2,0,0,1,0,0,1,0,1,0,0,2,1,2,1,0,0,0,0.78,0.84
gyro_meandif,0,0,0,1,1,2,2,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,4,1,1,1,1,1,1,1,1,3,0,1,1,0,1,0,0.76,0.8
acc_t_std_x,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0.72,2.09
gyro_p_peakXY2,0,1,1,1,1,0,3,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,3,0,1,0,1,1,0,2,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0.68,0.71
acc_p_mean_y,1,1,1,1,1,1,2,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0.68,0.51
acc_f_interq_y,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,3,0,11,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0.66,1.88
acc_a_lgEnergy_x,1,1,0,1,0,1,3,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,6,1,1,0,0,0.66,0.98
gyro_p_amp_z,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0.64,1.99
gyro_f_skew_a,0,1,1,0,0,5,3,1,0,0,0,0,1,0,0,2,2,0,0,0,1,0,1,0,2,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0.6,0.97
acc_f_subY_x,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,0,3,0,0,0,0,0.58,1.6
acc_p_difX_y,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,2,0,1,0,1,1,1,2,0,0,1,0,0,1,0,0,0,0,3,1,1,1,0,0,0,0.58,0.67
acc_a_mainY_z,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,2,2,0,0,0,1,0,0,1,3,0,0,1,1,0,0,1,0,0,0,5,1,0,0,0,0.58,0.93
acc_a_peakXY5,0,0,0,1,1,3,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,6,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0.58,0.99
gyro_t_yzCor,0,0,0,0,0,13,3,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0.58,1.89
