gyro_peaks_normal,1,2,72,31,73,15,7,3,0,28,67,121,0,1,1,2,31,2,1,7,60,1,2,5,15,7,3,1,1,4,14,3,0,4,3,3,9,24,1,1,10,4,99,6,17,0,2,3,5,2,1,3,62,6,8,3,1,0,8,26,18,26,22,20,48,9,2,46,32,5,1,8,1,4,7,2,4,1,3,126,119,2,1,1,8,2,88,17,2,1,3,0,1,63,0,106,36,2,0,17.46,29.38
acc_t_xaCor,1,4,50,22,59,13,13,7,5,17,51,54,3,4,2,4,33,5,2,13,60,4,2,4,14,9,6,6,2,9,19,3,6,8,1,4,12,20,2,5,13,16,69,14,25,5,8,7,12,5,6,9,36,13,19,4,1,2,17,25,25,22,28,16,29,14,5,47,31,13,7,13,1,9,25,6,14,5,3,68,80,7,1,5,13,6,60,18,4,6,6,7,5,28,2,39,27,2,3,15.8,17.45
acc_t_xyCor,9,4,35,16,47,7,8,7,8,11,25,64,3,1,7,1,17,0,2,6,30,1,4,4,8,3,2,1,6,5,10,5,6,4,5,4,5,11,6,1,10,16,31,6,15,2,5,3,5,8,4,9,43,4,8,4,4,5,9,22,13,19,18,14,26,11,3,21,23,9,5,11,1,6,8,0,6,2,2,38,58,4,7,2,2,9,23,9,4,5,11,5,1,22,4,80,23,2,2,11.32,13.84
acc_t_yaCor,0,1,36,18,33,7,6,5,0,20,37,48,2,2,0,0,13,2,1,8,47,2,1,0,7,6,2,2,1,4,12,0,3,1,0,1,5,11,1,0,13,10,63,9,19,4,1,4,4,2,3,2,29,7,3,0,1,2,7,19,20,15,21,13,17,5,2,30,25,5,0,4,0,5,10,2,6,3,0,60,69,2,1,2,5,0,74,9,1,1,4,2,2,34,2,48,22,0,0,10.79,16.14
acc_peaks_abnormal,0,1,32,34,45,18,12,7,0,27,28,46,2,0,0,0,25,1,0,5,51,2,2,1,10,6,1,4,0,3,4,0,5,1,0,3,5,12,0,0,16,13,39,7,20,2,1,2,4,2,0,4,37,9,9,1,0,2,13,25,15,22,25,12,53,13,2,29,15,8,3,5,1,8,14,1,12,2,1,49,24,0,0,1,5,1,36,4,0,0,7,2,0,13,0,34,22,2,0,10.51,13.58
acc_a_mainY_x,0,3,29,17,57,8,10,4,0,16,43,50,1,2,0,1,25,2,0,6,23,1,0,1,7,10,2,4,0,4,15,1,2,2,0,1,9,14,0,0,7,13,42,10,18,2,1,5,7,4,1,1,13,4,8,0,0,1,6,19,6,21,13,14,27,8,0,24,27,10,2,9,0,2,6,2,7,1,1,75,37,0,1,2,8,4,68,8,2,2,0,1,1,26,0,55,18,1,1,10.32,15.22
gyro_t_yzCor,3,4,28,15,46,6,8,7,2,23,20,32,2,1,3,1,25,2,0,7,35,2,2,1,9,13,2,3,2,7,9,1,2,3,2,0,9,14,0,1,7,7,24,11,6,2,1,3,5,6,1,4,27,10,9,0,2,4,11,18,9,12,17,8,24,6,1,43,24,4,2,13,1,9,8,2,7,2,0,37,67,1,1,2,4,3,26,7,4,1,5,3,3,28,1,37,24,1,1,9.68,12.09
acc_p_lgEnergy_y,1,4,39,19,44,13,6,6,2,18,40,52,1,0,2,1,20,0,2,6,31,1,1,5,1,8,0,2,2,3,12,2,7,2,1,5,5,14,2,2,13,9,40,5,10,1,3,5,4,3,2,4,30,8,7,4,2,1,7,7,10,12,14,10,23,9,1,26,18,8,5,6,2,4,3,0,6,1,1,43,38,1,2,0,4,3,21,8,1,1,3,1,1,25,2,53,19,1,1,9.43,12.39
acc_p_peakXY1,2,4,43,10,38,5,2,4,3,19,39,44,1,1,3,2,14,0,2,6,12,1,3,3,8,6,0,2,3,1,6,2,6,4,1,3,2,13,2,3,6,3,39,3,9,1,0,3,5,1,1,4,30,3,2,3,2,0,2,11,2,7,8,7,14,6,0,27,10,4,5,4,2,2,12,2,3,1,1,62,56,0,2,0,5,3,25,5,1,0,1,1,1,28,2,60,15,1,1,8.45,13.37
gyro_t_xyCor,0,2,26,15,24,5,9,2,0,17,33,42,0,0,0,2,15,0,0,4,28,0,0,1,6,6,0,1,0,3,8,0,1,2,1,2,5,14,1,0,6,4,65,3,7,1,1,2,5,1,0,1,18,4,3,1,0,0,5,7,6,17,8,11,16,7,0,15,17,5,1,5,0,2,7,1,2,0,0,62,50,0,1,0,5,2,35,5,0,0,5,0,0,27,0,64,12,0,0,8.05,13.77
acc_f_peakXY1,0,2,26,16,27,9,2,6,2,16,26,38,1,0,1,2,13,1,2,6,20,1,1,2,3,7,0,0,1,4,8,1,5,2,1,3,1,8,1,2,6,7,29,2,7,0,0,4,5,0,0,3,26,4,4,4,1,1,3,15,7,11,10,10,19,4,1,26,14,7,3,3,1,1,7,1,5,1,1,28,28,1,1,0,6,2,19,7,1,2,1,1,1,22,1,28,17,1,2,6.96,8.8
acc_a_mainX_x,0,1,11,10,28,4,10,4,0,10,17,24,2,2,0,1,14,3,0,7,21,1,0,0,3,9,2,4,0,4,14,1,0,1,1,0,8,3,0,0,7,14,17,11,15,2,1,4,4,4,1,0,3,4,8,1,0,2,5,10,3,14,11,9,13,10,0,17,19,4,0,8,0,0,7,0,2,2,0,47,37,1,0,2,4,0,27,11,2,3,1,2,2,14,0,42,8,1,1,6.64,9.01
