acc_fea_auto_num,16,7,4,120,8,6,14,28,6,5,177,6,5,47,8,7,6,5,35,6,5,5,9,8,7,6,9,7,6,9,5,7,8,5,6,7,6,7,5,4,7,70,15,8,7,6,5,8,65,6,149,5,9,4,6,133,31,7,73,36,5,8,6,27,6,21,134,35,7,4,8,34,7,81,6,7,4,7,7,195,216,87,177,114,8,129,154,9,337,5,7,329,48,7,147,38.74,66.69
acc_fea_sampley,16,7,11,117,10,9,14,44,10,10,137,11,8,59,9,9,8,8,48,9,12,9,10,12,12,10,9,10,10,10,6,10,7,13,12,9,10,12,10,10,7,73,17,8,10,11,10,9,46,10,154,10,9,8,9,117,27,10,73,37,7,9,9,24,9,18,140,34,8,12,10,35,11,61,14,9,6,9,8,147,197,83,151,122,11,116,136,6,275,5,10,247,59,9,129,37.35,55.24
acc_peaks_normal,15,11,10,110,9,8,20,41,8,11,148,12,12,49,10,8,8,10,42,7,7,9,10,10,9,11,10,8,7,10,10,9,12,6,10,8,8,12,12,5,9,64,18,8,8,10,10,10,56,11,142,11,8,9,7,101,26,10,55,33,10,11,9,29,8,17,139,28,11,7,10,34,7,61,10,13,7,10,11,167,187,84,153,82,10,113,131,9,294,9,9,204,44,9,105,35.58,53.16
gyro_fea_autoy,15,7,7,60,7,8,9,28,9,7,99,9,7,27,6,7,8,9,27,6,7,6,7,9,8,7,8,6,7,8,6,6,7,6,8,6,8,7,7,8,10,39,9,7,8,8,6,8,38,8,90,6,6,4,6,67,12,6,37,20,5,8,7,12,7,13,72,20,6,10,8,18,6,41,6,6,7,7,6,105,111,49,94,59,6,69,77,7,194,6,6,162,30,8,66,23.29,34.36
gyro_peaks_normal,20,10,8,56,9,9,19,38,9,8,85,8,10,37,8,10,9,6,33,9,7,10,8,9,9,8,9,9,9,8,9,7,6,8,9,9,9,7,7,8,7,38,16,7,7,9,8,9,35,9,91,7,9,8,9,57,16,7,42,24,8,7,8,19,9,16,63,26,8,4,9,30,8,40,8,5,8,9,8,76,80,53,67,54,9,62,67,9,127,7,6,112,37,6,65,22.22,25.71
gyro_fea_sampley,4,3,3,62,3,3,7,22,0,3,90,3,3,40,3,1,4,3,28,3,3,3,3,3,4,1,3,3,1,3,1,3,3,3,3,3,3,3,3,1,1,47,5,3,3,3,3,3,34,3,94,3,3,3,3,70,18,2,34,21,3,3,3,16,1,5,99,14,3,0,3,18,3,33,2,3,1,4,3,87,115,53,76,57,3,78,84,3,170,3,3,136,33,3,78,19.96,33.99
gyro_fea_samplex,7,5,3,48,4,5,5,21,5,5,84,4,5,22,5,6,4,5,21,4,7,5,5,5,4,6,4,4,6,6,3,5,5,5,5,4,4,7,5,5,4,36,8,4,4,5,6,4,36,4,76,4,5,4,4,48,12,4,43,11,6,4,6,14,5,8,75,18,4,6,3,13,4,40,6,5,4,5,6,85,82,34,60,53,5,49,52,3,139,3,6,115,27,7,65,17.97,26.61
acc_fea_autoy,10,5,5,53,5,5,9,19,6,5,79,3,4,19,5,5,6,4,19,4,3,4,4,4,5,4,4,5,4,4,5,4,4,3,4,5,5,3,3,3,5,34,8,4,6,5,4,4,47,5,78,4,5,3,5,39,8,6,24,12,3,4,4,8,4,4,68,14,6,4,5,17,5,26,4,3,5,4,5,112,119,35,81,43,4,39,45,5,142,5,3,113,18,7,47,17.55,28.32
acc_fea_samplex,6,3,2,38,2,4,10,18,3,2,84,2,2,19,3,3,3,4,20,4,3,2,2,3,3,2,4,3,5,3,1,4,2,4,4,4,3,1,1,5,2,28,6,5,2,4,3,4,25,2,51,3,3,2,3,43,16,3,24,15,2,3,2,11,4,5,52,15,3,4,2,10,2,30,4,3,2,3,3,111,96,31,65,39,3,39,46,2,122,2,3,113,16,3,45,15.06,25.6
gyro_fea_auto_num,7,3,3,44,3,3,6,17,5,3,81,3,3,18,3,5,3,3,14,3,4,4,3,3,3,5,3,3,5,3,4,5,3,4,3,3,3,5,5,5,4,27,10,3,4,3,3,3,15,3,60,3,3,3,4,38,10,3,29,17,3,4,3,13,5,7,42,18,4,6,4,15,4,19,3,5,5,3,3,74,76,35,61,34,3,32,42,4,110,4,4,130,25,2,55,14.82,23.61
acc_peaks_abnormal,6,6,4,24,4,5,7,8,3,6,38,5,6,11,4,3,4,5,12,4,3,6,4,4,4,3,4,4,3,4,3,5,4,5,4,4,4,3,6,2,3,18,4,4,4,4,4,4,27,4,51,4,4,2,4,31,6,5,15,11,4,3,3,5,3,4,39,6,4,4,4,7,4,19,4,5,1,4,4,55,61,21,40,28,4,34,40,4,59,4,5,65,10,5,30,11.0,14.61
gyro_peaks_abnormal,5,2,1,23,1,1,7,11,3,1,43,2,0,16,1,1,2,2,7,1,2,1,1,1,2,3,2,3,1,2,5,1,1,1,2,2,2,1,1,2,1,21,3,3,2,2,1,2,10,2,34,1,2,2,2,33,4,2,13,11,4,3,2,6,2,4,38,7,2,3,2,14,2,9,1,1,2,2,1,42,62,22,51,25,3,29,37,3,59,3,2,59,8,1,31,9.04,14.52
